what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1288309147943
ws,sysinfo,,,"cocoa",1288309147943
locale,sysinfo,,,"en_US",1288309147943
processors,sysinfo,,,"2",1288309147943
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288309147943
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1288309147943
java.specification.name,sysinfo,,,"Java Platform API Specification",1288309147943
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288309147943
java.specification.version,sysinfo,,,"1.6",1288309147943
java.vendor,sysinfo,,,"Apple Inc.",1288309147943
java.version,sysinfo,,,"1.6.0_20",1288309147943
java.vm.info,sysinfo,,,"mixed mode",1288309147943
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1288309147943
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288309147943
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288309147943
java.vm.specification.version,sysinfo,,,"1.0",1288309147943
java.vm.vendor,sysinfo,,,"Apple Inc.",1288309147943
java.vm.version,sysinfo,,,"16.3-b01-279",1288309147943
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288309147956
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288309148007
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1288309148012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309164516
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1288309176216
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1288309176472
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1288309208164
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1288309208322
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1288309210218
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1288309211086
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309211130
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309211302
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1288309222164
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309222165
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1288309222186
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309224614
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309224685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309225433
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1288309225735
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288309226170
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288309234038
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1288309236985
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288309237841
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288309252610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309254514
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1288309258841
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1288309258851
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1288309258861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309302572
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1288309302620
error,log,,,"Error logged from Debug Core: ",1288309303176
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1288309303208
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1288309303247
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1288309303249
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1288309303249
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1288309303263
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1288309310455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309324371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309330274
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1288309330339
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309332024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288309360140
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288309365003
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1288309372946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288309377143
error,log,,,"Error logged from Debug Core: ",1288309382302
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309386557
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1288309406351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309422839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309423512
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1288309454666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309454682
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309454952
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309458069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309458888
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309461567
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1288309485774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309485783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309486028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309487669
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1288309491423
error,log,,,"Error logged from Debug Core: ",1288309494094
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288309524721
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288309547673
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288309547762
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1288309558718
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object ananda",1288309558719
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1288309588709
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object ananda.o",1288309588709
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1288309592860
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object ananda",1288309592864
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1288309596737
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1288309596783
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288309604620
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309609330
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1288309611632
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309613144
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1288309613145
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1288309616202
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309617051
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309617164
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309623128
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1288309631014
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288309645900
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309690078
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288309692470
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1288309692595
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1288309696396
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1288309698831
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1288309698873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309701621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309704408
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1288309706370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309726665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309729473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288309740632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288322085391
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288324328057
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.next",1288325866320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288335428641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288335514939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288335518885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288342155472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288342160007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288342162455
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288342162818
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1288342163316
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1288342163316
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1288342163317
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1288342163317
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1288342163317
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1288342163319
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1288342163319
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1288342163319
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1288342163319
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1288342163319
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1288342163320
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1288342163320
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1288342163320
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1288342163320
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1288342163320
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1288342163320
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1288342163320
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1288342163320
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1288342163332
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1288342163335
stopped,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1288342163349
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1288342163350
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1288342163355
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1288342163357
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1288342163358
