what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657602851
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657621349
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288657624094
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288657626938
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657635210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657642190
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1288657642197
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288657644038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657647990
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1288657677161
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1288657677288
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1288657677364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657768982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1288657769115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1288657769115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657776164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657797537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657813149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657821083
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657860848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657882534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657898798
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288657923920
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288657923944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657923983
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288657923996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657935112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657938762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1288657938803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288657944644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658284171
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288658292224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658292757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658295530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658299403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658299605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658299636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658303774
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1288658303808
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1288658308116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658317689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658328137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288658329488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658335802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288658352123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288658352288
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288658355073
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1288658367926
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1288658373814
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288658380088
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1288658391113
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1288658391117
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1288658391177
